Accession_#,Mapping_Order,Full_Name,Genus,Species,Origin,Location,Latitude,Longitude,Height_(ft),Sun_Exposure_(%),Distance_from_Road_(ft),Leaf_Accessibility,Gall_Presence,total_galls,Gall_Species_1,#_galls_1,Gall_Species_2,#_galls_2,Gall_Species_3,#_galls_3,Gall_Species_4,#_galls_4,Gall_Species_5,#_galls_5,Notes,Lichen_Presence,Blue FlavoCap_Log%,GreenFlavoCap_Log%,GrayFlavoCap_Log%,MintGreenLeafy_Log%,BrightGreenPowder_Log%,LightGreenPowder_Log%,GrayGreenPowder_Log%,GreyPowder_Log%,MintGreenPowder_Log%,NeonGreen_Log%,Physcia_Log%,WhitePhysciaPowder_Log%,BlueGreenSpeckled_Log%,GrayBlueCrust_Log%,Degrees_Measured
E19-162,20,Quercus_robur,Quercus,robur,Non-native,GWC,40.657336,-73.987996,35,100,25,high,N,0,,,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,10-100,0,<1,0,0,
W34-140,2,Quercus_robur,Quercus,robur,Non-native,GWC,40.649972,-73.997473,37,100,50,medium,N,0,,,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,<1,0,0,0,0,
W10-16,3,Pinus_strobus,Pinus,strobus,Native,GWC,40.653956,-73.993769,58,75,50,low,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
W05-11,6,Pinus_strobus,Pinus,strobus,Native,GWC,40.654361,-73.998271,63,100,0,medium,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E28-141,14,Pinus_strobus,Pinus,strobus,Native,GWC,40.652794,-73.986215,30,75,50,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
W34-123,8,Pinus_strobus,Pinus,strobus,Native,GWC,40.649325,-73.997126,31,100,50,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
W12-42,4,Pinus_strobus,Pinus,strobus,Native,GWC,40.653002,-73.994906,87,50,25,low,N,0, ,,,,,,,,,,,Y,0,0,0,0,10-100,0,0,0,0,0,0,0,0,0,
E35-7,2,Pinus_strobus,Pinus,strobus,Native,GWC,40.654434,-73.992023,59,100,25,low,N,0, ,,,,,,,,,,,Y,1-10,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
E23-5,15,Pinus_strobus,Pinus,strobus,Native,GWC,40.654063,-73.984309,48,75,25,high,N,0, ,,,,,,,,,,,Y,0,0,0,0,10-100,0,0,0,0,0,0,0,0,0,
W34-126,7,Pinus_strobus,Pinus,strobus,Native,GWC,40.649396,-73.997355,37,100,50,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E11-135,19,Pinus_strobus,Pinus,strobus,Native,GWC,40.658405,-73.992442,37,75,0,high,N,0, ,,,,,,,,,,,Y,0,0,0,0,10-100,0,0,0,0,0,0,0,0,0,
W25-5,10,Pinus_strobus,Pinus,strobus,Native,GWC,40.651199,-73.98897,71,75,25,low,N,0, ,,,,,,,,,,clippers/truck needed,Y,0,0,0,0,10-100,0,<1,0,0,1-10,0,0,0,0,
S15-304,11,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.647252,-73.985675,16,100,50,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S19-70,12,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.646135,-73.991012,21,100,50,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E06-30,20,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.658891,-73.994303,67,100,0,medium,N,0, ,,,,,,,,,,,Y,0,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
W30-14,9,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.650467,-73.993125,67,75,25,low,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S05-100,13,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.647489,-73.990264,86,75,25,medium,N,0, ,,,,,,,,,,,Y,<1,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
W11-12,5,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.653506,-73.995524,58,25,50,medium,N,0, ,,,,,,,,,,,Y,0,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
E42-26,1,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.655403,-73.994876,43,100,0,high,N,0, ,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E30-19,18,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.653617,-73.987189,57,100,0,low,N,0, ,,,,,,,,,,,Y,0,0,0,0,1-10,0,0,0,<1,0,0,0,0,0,
E24-74,16,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.655226,-73.982009,22,100,50,high,N,0,,,,,,,,,,,just big enough,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E39-14,17,Pinus_wallichiana,Pinus,wallichiana,Non-native,GWC,40.655468,-73.992309,54,100,25,high,N,0,,,,,,,,,,,,Y,0,0,0,0,1-10,0,0,0,<1,0,0,0,0,0,
E03-39,20,Acer_rubrum,Acer,rubrum,Native,GWC,40.657184,-73.996288,39,75,50,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,1-10,0,0,0,0,1-10,0,0,0,0,
E25-26,9,Acer_rubrum,Acer,rubrum,Native,GWC,40.652966,-73.98346,57,100,50,high,N,0,,,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
E27-15,2,Acer_rubrum,Acer,rubrum,Native,GWC,40.652729,-73.987282,66,25,0,low,Y,5,Vasates_aceriscrumena,5,,,,,,,,,Not sure if gall,Y,1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,
S12-24,14,Acer_rubrum,Acer,rubrum,Native,GWC,40.648012,-73.98297,37,75,0,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,<1,0,0,0,0,
S12-42,12,Acer_rubrum,Acer,rubrum,Native,GWC,40.648349,-73.983256,32,75,0,medium,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,
S12-43,11,Acer_rubrum,Acer,rubrum,Native,GWC,40.648423,-73.983317,39,75,0,medium,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
S15-1,10,Acer_rubrum,Acer,rubrum,Native,GWC,40.648522,-73.983548,45,100,0,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,<1,0,0,0,0,<1,0,0,0,0,
S15-12,13,Acer_rubrum,Acer,rubrum,Native,GWC,40.64825,-73.983308,37,75,0,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,
S15-21,15,Acer_rubrum,Acer,rubrum,Native,GWC,40.647713,-73.982846,35,75,0,medium,N,0,,,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,<1,0,0,0,0,
S15-22,16,Acer_rubrum,Acer,rubrum,Native,GWC,40.647638,-73.982798,47,75,0,high,N,0,,,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,<1,0,0,0,0,
E26-217,7,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.651818,-73.986391,71,50,25,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
E26-27,5,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.652721,-73.985058,58,100,0,low,N,0,,,,,,,,,,,Need clippers/truck,Y,10-100,0,0,0,0,0,0,0,0,<1,0,0,0,0,
E27-124,3,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.652126,-73.986804,64,50,25,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
W40-116,19,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.652073,-73.995881,61,25,50,low,N,0,,,,,,,,,,,"Need clippers/truck, Blue FlavoCap looked mixed with green lichen",Y,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,
E26-185,6,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.652043,-73.985912,63,50,25,low,N,0,,,,,,,,,,,Need clippers/truck,Y,1-10,0,0,0,0,0,0,0,0,10-100,0,0,0,0,
E26-219,8,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.651792,-73.986368,52,25,50,low,N,0,,,,,,,,,,,Blue FlavoCap looked mixed with green lichen,Y,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,
E27-72,4,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.652859,-73.985709,40,100,0,low,N,0,,,,,,,,,,,,Y,1-10,<1,0,0,0,0,0,0,0,1-10,1-10,0,0,0,
S16-96,17,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.644755,-73.989915,43,100,50,medium,N,0,,,,,,,,,,,,Y,10-100,0,0,0,<1,0,0,0,0,1-10,0,0,0,0,
W35-320,18,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.648676,-73.995802,67,50,0,medium,N,0,,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E31-36,1,Acer_platanoides,Acer,platanoides,Non-native,GWC,40.65368,-73.987327,59,50,0,low,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,10-100,0,0,0,0,
S03-56,19,Tilia_americana,Tilia,americana,Native,GWC,40.6495,-73.992846,83,50,0,low,Y,32,Eriophyes_tiliae,32,,,,,,,,,,Y,<1,<1,0,0,0,0,0,0,0,0,0,0,0,0,"0, 180"
W42-125,21,Tilia_americana,Tilia,americana,Native,GWC,40.652414,-74.001078,34,100,50,high,Y,31,Eriophyes_tiliae,31,,,,,,,,,Need clippers,Y,0,0,0,0,0,0,1-10,0,0,0,0,0,0,0,"0, 180"
W30-1,20,Tilia_americana,Tilia,americana,Native,GWC,40.649872,-73.99291,67,100,0,medium,Y,24,Eriophyes_tiliae,24,,,,,,,,,,Y,1-10,1-10,0,0,0,0,0,0,0,0,0,0,0,0,"300, 180"
W23-3,8,Tilia_americana,Tilia,americana,Native,GWC,40.652802,-73.987754,72,50,0,low,Y,4,Eriophyes_tiliae,4,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,"60, X"
W24-30,10,Tilia_americana,Tilia,americana,Native,GWC,40.651109,-73.988606,65,75,0,medium,Y,12,Eriophyes_tiliae,12,,,,,,,,,,Y,10-100,0,0,0,0,0,0,0,0,1-10,0,0,0,0,"45, 100"
S02-36,18,Tilia_americana,Tilia,americana,Native,GWC,40.648803,-73.992405,94,50,50,low,Y,20,Eriophyes_tiliae,20,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 180"
E30-16,7,Tilia_americana,Tilia,americana,Native,GWC,40.653349,-73.98732,67,75,25,high,N,0,,,,,,,,,,,Galls were present after 50 leaves at 180° N,Y,<1,0,0,0,1-10,0,0,0,<1,<1,0,0,0,0,"0, 180"
E27-19,9,Tilia_americana,Tilia,americana,Native,GWC,40.652384,-73.987542,56,100,0,medium,Y,24,Eriophyes_tiliae,24,,,,,,,,,,Y,0,0,1-10,1-10,0,0,0,0,0,<1,0,0,0,0,"10, 190"
E22-135,6,Tilia_americana,Tilia,americana,Native,GWC,40.654388,-73.985213,36,100,25,high,Y,31,Eriophyes_tiliae,31,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,10-100,0,0,0,0,"0, 180"
S03-22,17,Tilia_americana,Tilia,americana,Native,GWC,40.648696,-73.992541,93,50,50,low,Y,20,Eriophyes_tiliae,20,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,1-10,0,0,0,0,"0, 180"
E41-6,2,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.654529,-73.993625,71,50,0,low,N,0,,,,,,,,,,,,Y,10-100,0,0,0,10-100,0,0,0,0,0,0,0,0,0,"240, 180"
S13-32,12,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.649387,-73.983211,57,75,50,medium,Y,4,Eriophyes_tiliae,4,,,,,,,,,Galls were present after 50 leaves at 0° N,Y,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,"0, 180"
S11-172,13,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.649935,-73.980958,32,100,25,high,Y,4,Eriophyes_tiliae,4,,,,,,,,,,Y,1-10,0,0,0,0,0,0,<1,0,<1,0,0,0,0,"0, 180"
S19-17,16,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.645981,-73.990585,68,75,50,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,10-100,1-10,0,0,0,0,0,0,0,0,"0, 180"
W20-12,5,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.653435,-73.988771,77,25,0,high,N,0,,,,,,,,,,,Need truck/clippers,Y,1-10,0,0,0,10-100,0,0,0,0,1-10,0,0,0,0,"300, X"
S07-74,11,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.649183,-73.987279,42,100,0,high,Y,2,Eriophyes_tiliae,2,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,"0, 180"
S12-113,14,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.648134,-73.98283,27,100,25,high,Y,19,Eriophyes_tiliae,19,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 180"
S14-85,15,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.647624,-73.986894,69,100,50,high,Y,7,Eriophyes_tiliae,7,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 180"
E41-35,1,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.655054,-73.994827,66,50,0,low,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,10-100,0,0,0,0,"220, 180"
E33-92,3,Tilia_cordata,Tilia,cordata,Non-native,GWC,40.654152,-73.990009,73,50,0,medium,Y,4,Eriophyes_tiliae,4,,,,,,,,,,Y,10-100,0,0,0,1-10,0,0,0,0,10-100,0,0,0,0,"300, 180"
E13-7,18,Picea_glauca,Picea,glauca,Native,GWC,40.656191,-73.990675,26,25,50,low,N,0,,,,,,,,,,,,Y,10-100,0,0,0,1-10,0,0,0,0,1-10,0,0,0,0,
E13-8,19,Picea_glauca,Picea,glauca,Native,GWC,40.656203,-73.990629,30,50,50,low,N,0,,,,,,,,,,,Blue FlavoCap looked colonized with another green lichen - see photo,Y,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,
E19-159,21,Picea_glauca,Picea,glauca,Native,GWC,40.657396,-73.987404,27,75,50,high,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,10-100,0,0,0,0,
E22-40,1,Picea_glauca,Picea,glauca,Native,GWC,40.655123,-73.983519,37,100,0,high,N,0,,,,,,,,,,,,Y,1-10,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
E24-53,2,Picea_glauca,Picea,glauca,Native,GWC,40.654393,-73.982107,40,100,50,high,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,0,<1,0,0,0,0,
S01-37,15,Picea_glauca,Picea,glauca,Native,GWC,40.647454,-73.992051,40,100,0,high,N,0,,,,,,,,,,,,Y,<1,<1,0,0,0,0,0,0,0,0,0,0,0,0,
S01-46,14,Picea_glauca,Picea,glauca,Native,GWC,40.646828,-73.991127,38,100,0,high,N,0,,,,,,,,,,,,Y,0,0,0,0,1-10,0,0,0,<1,0,0,0,0,0,
S03-10,17,Picea_glauca,Picea,glauca,Native,GWC,40.649153,-73.992035,15,50,25,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,
S10-61,3,Picea_glauca,Picea,glauca,Native,GWC,40.652389,-73.983407,58,100,50,high,N,0,,,,,,,,,,,"Covered in English Ivy, I could replace with the extra?",N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S14-170,7,Picea_glauca,Picea,glauca,Native,GWC,40.649152,-73.984377,36,100,25,low,N,0,,,,,,,,,,,Picture of Gray Blue Crust,Y,10-100,0,0,0,1-10,0,0,0,0,<1,0,0,0,<1,
E19-58,20,Picea_abies,Picea,abies,Non-native,GWC,40.657181,-73.987619,46,100,50,high,N,0,,,,,,,,,,,,Y,0,1-10,0,0,0,0,0,0,0,0,0,0,0,0,
E26-15,4,Picea_abies,Picea,abies,Non-native,GWC,40.652452,-73.985022,47,75,50,medium,N,0,,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S01-30,16,Picea_abies,Picea,abies,Non-native,GWC,40.647478,-73.99255,66,100,50,medium,N,0,,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S04-90,11,Picea_abies,Picea,abies,Non-native,GWC,40.649066,-73.990112,56,50,50,low,N,0,,,,,,,,,,,,Y,0,1-10,0,0,0,1-10,0,0,0,0,0,0,0,0,
S04-91,12,Picea_abies,Picea,abies,Non-native,GWC,40.649073,-73.990195,74,75,50,high,N,0,,,,,,,,,,,,Y,<1,1-10,0,0,1-10,0,0,0,0,0,0,0,0,0,
S05-4,10,Picea_abies,Picea,abies,Non-native,GWC,40.649469,-73.988052,48,75,0,high,N,0,,,,,,,,,,,,Y,0,1-10,0,0,10-100,0,0,0,0,0,0,0,0,0,
S12-27,5,Picea_abies,Picea,abies,Non-native,GWC,40.648236,-73.982301,76,75,50,high,N,0,,,,,,,,,,,,Y,0,1-10,0,0,0,<1,0,0,0,0,0,0,0,0,
S14-121,9,Picea_abies,Picea,abies,Non-native,GWC,40.648888,-73.986453,68,75,25,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
S15-52,8,Picea_abies,Picea,abies,Non-native,GWC,40.64656,-73.985172,61,100,50,high,N,0,,,,,,,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S18-87,13,Picea_abies,Picea,abies,Non-native,GWC,40.647535,-73.988868,48,50,50,medium,N,0,,,,,,,,,,,,Y,<1,<1,0,0,1-10,0,1-10,0,0,0,0,0,0,0,
W23-81,10,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.652347,-73.98769,26,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04-140,14,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.649044,-73.989519,26,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10-127,7,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.652441,-73.982922,46,100,30,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10-97,6,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.652711,-73.983069,38,50,0,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10-102,5,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.652851,-73.982789,41,50,0,medium,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W37-53,16,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.649167,-73.996662,27,75,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07-177,11,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.650242,-73.985881,26,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W34-59,17,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.649794,-73.997068,30,100,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W17-76,18,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.653838,-73.991157,27,100,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S06-64,9,Quercus_acutissima,Quercus,acutissima,Non-native,GWC,40.651331,-73.987695,23,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E18-8,4,Quercus_palustris,Quercus,palustris,Native,GWC,40.656321,-73.984882,70,50,0,low,Y,2,Callirhytis_quercuspunctata,2,,,,,,,,,,,,,,,,,,,,,,,,,
S09-66,8,Quercus_palustris,Quercus,palustris,Native,GWC,40.651743,-73.985008,90,75,0,low,Y,16,Polystepha_pilulae,11,Macrodiplosis_erubescens,3,Callirhytis_favosa,1,Callirhytis_quercuspunctata,1,,,,,,,,,,,,,,,,,,,
S12-54,12,Quercus_palustris,Quercus,palustris,Native,GWC,40.648847,-73.982923,71,50,0,medium,Y,3,Macrodiplosis_erubescens,3,,,,,,,,,,,,,,,,,,,,,,,,,
S18-127,13,Quercus_palustris,Quercus,palustris,Native,GWC,40.6472,-73.987711,81,50,50,medium,Y,12,Macrodiplosis_qoruca,7,Polystepha_pilulae,5,,,,,,,,,,,,,,,,,,,,,,,
W31-59,15,Quercus_palustris,Quercus,palustris,Native,GWC,40.650419,-73.993749,42,75,0,medium,Y,24,Macrodiplosis_erubescens,4,Polystepha_pilulae,14,Zopheroteras_guttatum,6,Macrodiplosis_qoruca,1,,,,,,,,,,,,,,,,,,,
E17-39,3,Quercus_palustris,Quercus,palustris,Native,GWC,40.657368,-73.988698,54,100,0,low,Y,18,Polystepha_pilulae,6,Macrodiplosis_erubescens,11,Callirhytis_favosa,1,,,,,,,,,,,,,,,,,,,,,
E11-27,2,Quercus_palustris,Quercus,palustris,Native,GWC,40.657852,-73.991139,67,100,50,medium,Y,19,Polystepha_pilulae,14,Macrodiplosis_erubescens,4,,,,,,,,,,,,,,,,,,,,,,,
E08-26,1,Quercus_palustris,Quercus,palustris,Native,GWC,40.657543,-73.994597,64,50,50,high,Y,4,Melikaiella_ostensackeni,4,,,,,,,,,,,,,,,,,,,,,,,,,
E19-14,19,Quercus_palustris,Quercus,palustris,Native,GWC,40.657603,-73.989165,70,50,0,low,Y,8,Callirhytis_quercuspunctata,1,Macrodiplosis_erubescens,7,,,,,,,,,,,,,,,,,,,,,,,
E18-54,20,Quercus_palustris,Quercus,palustris,Native,GWC,40.657506,-73.989637,81,75,0,medium,Y,5,Callirhytis_quercuspunctata,1,Macrodiplosis_qoruca,4,,,,,,,,,,,,,,,,,,,,,,,
E12-43,8,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.657379,-73.991772,18,100,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08-23,10,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.655307,-73.996142,22,50,0,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W22-11,4,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.652406,-73.988703,36,50,50,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
W16-77,5,Prunus serrulata 'Kanzan',Prunus,serrulata,Non-native,GWC,40.652766,-73.991095,21,50,50,high,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
